Region Name,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,Median_Columns
"Hodgeman County, KS",43338.0,45992.0,51276.0,49119.0,52394.0,54513.0,51244.0,51962.0,54058.0,58360.0,60414.0,
"Jackson County, KS",50709.0,50342.0,50943.0,50661.0,53796.0,51662.0,57869.0,49779.0,56330.0,60615.0,57871.0,
"Jefferson County, KS",52592.0,57046.0,55057.0,54890.0,56927.0,59080.0,62285.0,66044.0,69246.0,68549.0,63712.0,
"Jewell County, KS",37640.0,38865.0,34195.0,41924.0,44101.0,43201.0,40940.0,43234.0,44271.0,46017.0,46688.0,
"Johnson County, KS",71389.0,70665.0,73712.0,74135.0,76104.0,83007.0,80872.0,83516.0,87087.0,91913.0,91799.0,
"Kearny County, KS",49426.0,51413.0,50626.0,54399.0,53484.0,59134.0,59254.0,50526.0,63248.0,67301.0,66713.0,
"Kingman County, KS",46574.0,47684.0,49431.0,51281.0,53378.0,52907.0,59721.0,50081.0,56005.0,56907.0,58678.0,
"Kiowa County, KS",41166.0,39796.0,42543.0,45417.0,46318.0,46381.0,42976.0,44374.0,64399.0,49588.0,56664.0,
"Labette County, KS",39683.0,37879.0,36715.0,38542.0,40822.0,42323.0,41103.0,46819.0,44571.0,44170.0,50222.0,
"Lane County, KS",44288.0,47900.0,51366.0,52915.0,53739.0,57388.0,56677.0,55083.0,59240.0,60315.0,60530.0,
"Leavenworth County, KS",60848.0,61567.0,59662.0,65424.0,65549.0,61465.0,67558.0,70740.0,70807.0,75840.0,76429.0,
"Lincoln County, KS",39442.0,39317.0,42847.0,42521.0,44896.0,42277.0,42092.0,43865.0,44439.0,47557.0,50231.0,
"Linn County, KS",43509.0,44615.0,43726.0,44036.0,44520.0,46065.0,44391.0,47300.0,47153.0,62876.0,55006.0,
"Logan County, KS",42297.0,43315.0,45933.0,46375.0,49852.0,48399.0,48453.0,48024.0,50267.0,53538.0,56833.0,
"Lyon County, KS",39258.0,39346.0,39195.0,39483.0,43038.0,39562.0,43600.0,47279.0,47982.0,49840.0,56290.0,
"McPherson County, KS",54881.0,48130.0,53969.0,52734.0,57878.0,61356.0,56488.0,55686.0,58017.0,65834.0,68904.0,
"Marion County, KS",45899.0,43749.0,45243.0,45319.0,47723.0,51196.0,51569.0,49980.0,51712.0,51771.0,53709.0,
"Marshall County, KS",43584.0,42619.0,44693.0,50087.0,47901.0,49270.0,48687.0,49466.0,51066.0,55858.0,56429.0,
"Meade County, KS",48634.0,49141.0,50863.0,53942.0,53903.0,56325.0,57187.0,56397.0,67220.0,64640.0,52590.0,
"Miami County, KS",58445.0,57580.0,64629.0,59706.0,63924.0,62375.0,67651.0,69327.0,71770.0,74428.0,78717.0,
"Mitchell County, KS",42946.0,43511.0,46204.0,46181.0,48645.0,48310.0,49552.0,43743.0,51514.0,51979.0,53745.0,
"Montgomery County, KS",37495.0,36670.0,39553.0,39045.0,42221.0,43289.0,41281.0,45808.0,42479.0,44240.0,44071.0,
"Morris County, KS",44417.0,44227.0,42765.0,46404.0,44774.0,49720.0,48093.0,49561.0,49287.0,54775.0,53793.0,
"Morton County, KS",49526.0,47006.0,52950.0,51157.0,55378.0,53443.0,49717.0,50698.0,53785.0,56175.0,56878.0,
"Nemaha County, KS",44056.0,47971.0,50077.0,50006.0,54149.0,54486.0,55324.0,58729.0,59567.0,63373.0,62744.0,
"Neosho County, KS",38363.0,40651.0,40541.0,41877.0,41527.0,40744.0,42441.0,44073.0,46176.0,49533.0,56085.0,
"Ness County, KS",51717.0,44774.0,49541.0,49432.0,51923.0,53456.0,46439.0,49258.0,51757.0,54727.0,55311.0,
"Norton County, KS",40386.0,41396.0,42202.0,42389.0,44846.0,45096.0,45845.0,47697.0,47252.0,49739.0,47512.0,
"Osage County, KS",45221.0,47318.0,46706.0,48991.0,52749.0,48364.0,54760.0,53537.0,53864.0,55655.0,55287.0,
"Osborne County, KS",36519.0,37949.0,39468.0,38493.0,38848.0,43518.0,41967.0,42832.0,46101.0,46351.0,47811.0,
"Ottawa County, KS",53086.0,48998.0,48266.0,52041.0,52744.0,50302.0,52808.0,46585.0,56451.0,58729.0,60560.0,
"Pawnee County, KS",42658.0,41623.0,43901.0,45331.0,47351.0,47359.0,46961.0,47677.0,47039.0,65141.0,53821.0,
"Phillips County, KS",42071.0,40746.0,43519.0,44080.0,45856.0,46984.0,49386.0,47196.0,47405.0,51546.0,56047.0,
"Pottawatomie County, KS",52861.0,53339.0,56891.0,59856.0,65373.0,60601.0,64704.0,65956.0,69975.0,73685.0,75476.0,
"Pratt County, KS",43987.0,44964.0,47220.0,50970.0,54701.0,52634.0,51419.0,56540.0,52567.0,53980.0,62958.0,
"Rawlins County, KS",40211.0,40908.0,44563.0,45901.0,44932.0,47448.0,47377.0,44596.0,46638.0,50768.0,54417.0,
"Reno County, KS",41717.0,41892.0,43094.0,44099.0,46533.0,47178.0,46208.0,48588.0,49341.0,53371.0,57611.0,
"Republic County, KS",38331.0,38132.0,39085.0,39819.0,42381.0,44593.0,43921.0,44247.0,48566.0,47082.0,52537.0,
"Rice County, KS",41687.0,45420.0,44833.0,45389.0,49152.0,52400.0,47737.0,51102.0,51686.0,56350.0,59659.0,
"Riley County, KS",45523.0,45558.0,43574.0,46267.0,46468.0,46690.0,49901.0,50212.0,47057.0,51996.0,56333.0,
"Rooks County, KS",38487.0,39326.0,41363.0,40870.0,48383.0,45309.0,45268.0,44086.0,47365.0,49485.0,51376.0,
"Rush County, KS",38595.0,37693.0,40415.0,42867.0,43083.0,43895.0,45281.0,44203.0,44121.0,53189.0,50673.0,
"Russell County, KS",36575.0,37140.0,36614.0,39520.0,45443.0,42625.0,43857.0,43139.0,45879.0,46112.0,56536.0,
"Saline County, KS",43927.0,45359.0,45225.0,48505.0,48460.0,47052.0,48748.0,50072.0,53961.0,56741.0,56928.0,
"Scott County, KS",46925.0,49066.0,51245.0,51013.0,56032.0,56267.0,60540.0,59798.0,63790.0,62914.0,68514.0,
"Sedgwick County, KS",45996.0,49526.0,47649.0,48671.0,51175.0,50995.0,52612.0,54176.0,56381.0,60014.0,59789.0,
"Seward County, KS",43449.0,47855.0,47801.0,45349.0,47381.0,45807.0,48648.0,46541.0,50671.0,55727.0,54330.0,
"Shawnee County, KS",45359.0,44816.0,48122.0,50042.0,52795.0,51316.0,55387.0,56810.0,53612.0,59451.0,56191.0,
"Sheridan County, KS",46699.0,48498.0,50601.0,50961.0,52300.0,51221.0,49860.0,51363.0,50553.0,54627.0,58186.0,
"Sherman County, KS",37927.0,39660.0,39160.0,38025.0,43100.0,42491.0,48456.0,45991.0,45966.0,54000.0,52718.0,
"Smith County, KS",38120.0,38090.0,40075.0,39696.0,41303.0,43872.0,40006.0,41047.0,41899.0,45915.0,49114.0,
